Time,normal_interactions,curtailed_interactions
40.75,2.05205e+07,2.05205e+07
41,2.04865e+07,2.04865e+07
41.25,2.04524e+07,2.04524e+07
41.5,2.04162e+07,2.04162e+07
41.75,2.03804e+07,2.03804e+07
42,2.0344e+07,2.0344e+07
42.25,2.03067e+07,2.03067e+07
42.5,2.02674e+07,2.02674e+07
42.75,2.02288e+07,2.02288e+07
43,2.01879e+07,2.01879e+07
43.25,2.01454e+07,2.01454e+07
43.5,2.01033e+07,2.01033e+07
43.75,2.00613e+07,2.00613e+07
44,2.00197e+07,2.00197e+07
44.25,1.99743e+07,1.99743e+07
44.5,1.99306e+07,1.99306e+07
44.75,1.98865e+07,1.98865e+07
45,1.98417e+07,1.98417e+07
45.25,1.97972e+07,1.97972e+07
45.5,1.97522e+07,1.97522e+07
45.75,1.97073e+07,1.97073e+07
46,1.96603e+07,1.96603e+07
46.25,1.96153e+07,1.96153e+07
46.5,1.95702e+07,1.95702e+07
46.75,1.95247e+07,1.95247e+07
47,1.94796e+07,1.94796e+07
47.25,1.94351e+07,1.94351e+07
47.5,1.9391e+07,1.9391e+07
47.75,1.93477e+07,1.93477e+07
48,1.93052e+07,1.93052e+07
48.25,1.9261e+07,1.9261e+07
48.5,1.92174e+07,1.92174e+07
48.75,1.91767e+07,1.91767e+07
49,1.91364e+07,1.91364e+07
49.25,1.90963e+07,1.90963e+07
49.5,1.90549e+07,1.90549e+07
49.75,1.90163e+07,1.90163e+07
50,1.89798e+07,1.89798e+07
50.25,1.89427e+07,1.89427e+07
50.5,1.89099e+07,1.89099e+07
50.75,1.88764e+07,1.88764e+07
51,1.88454e+07,1.88454e+07
51.25,1.88143e+07,1.88143e+07
51.5,1.87861e+07,1.87861e+07
51.75,1.87601e+07,1.87601e+07
52,1.87346e+07,1.87346e+07
52.25,1.87115e+07,1.87115e+07
52.5,1.86907e+07,1.86907e+07
52.75,1.86716e+07,1.86716e+07
53,1.86549e+07,1.86549e+07
53.25,1.86389e+07,1.86389e+07
53.5,1.86247e+07,1.86247e+07
53.75,1.86138e+07,1.86138e+07
54,1.86038e+07,1.86038e+07
54.25,1.85962e+07,1.85962e+07
54.5,1.85883e+07,1.85883e+07
54.75,1.85852e+07,1.85852e+07
55,1.85844e+07,1.85844e+07
55.25,1.8583e+07,1.8583e+07
55.5,1.85841e+07,1.85841e+07
55.75,1.85888e+07,1.85888e+07
56,1.85939e+07,1.85939e+07
56.25,1.86013e+07,1.86013e+07
56.5,1.86096e+07,1.86096e+07
56.75,1.86209e+07,1.86209e+07
57,1.86346e+07,1.86346e+07
57.25,1.8651e+07,1.8651e+07
57.5,1.86674e+07,1.86674e+07
57.75,1.86849e+07,1.86849e+07
58,1.87042e+07,1.87042e+07
58.25,1.87261e+07,1.87261e+07
58.5,1.87486e+07,1.87486e+07
58.75,1.8771e+07,1.8771e+07
59,1.87961e+07,1.87961e+07
59.25,1.88211e+07,1.88211e+07
59.5,1.8849e+07,1.8849e+07
59.75,1.88784e+07,1.88784e+07
60,1.89094e+07,1.89094e+07
60.25,1.89395e+07,1.89395e+07
60.5,1.89696e+07,1.89696e+07
60.75,1.90002e+07,1.90002e+07
61,1.9033e+07,1.9033e+07
61.25,1.90672e+07,1.90672e+07
61.5,1.91004e+07,1.91004e+07
61.75,1.91344e+07,1.91344e+07
62,1.91699e+07,1.91699e+07
62.25,1.92045e+07,1.92045e+07
62.5,1.92409e+07,1.92409e+07
62.75,1.92777e+07,1.92777e+07
63,1.93147e+07,1.93147e+07
63.25,1.93511e+07,1.93511e+07
63.5,1.93872e+07,1.93872e+07
63.75,1.94251e+07,1.94251e+07
64,1.94618e+07,1.94618e+07
64.25,1.94981e+07,1.94981e+07
64.5,1.95355e+07,1.95355e+07
64.75,1.95722e+07,1.95722e+07
65,1.96086e+07,1.96086e+07
65.25,1.96457e+07,1.96457e+07
65.5,1.96813e+07,1.96813e+07
65.75,1.97174e+07,1.97174e+07
66,1.97544e+07,1.97544e+07
66.25,1.97908e+07,1.97908e+07
66.5,1.98254e+07,1.98254e+07
66.75,1.986e+07,1.986e+07
67,1.98952e+07,1.98952e+07
67.25,1.99294e+07,1.99294e+07
67.5,1.99639e+07,1.99639e+07
67.75,1.99978e+07,1.99978e+07
68,2.00308e+07,2.00308e+07
68.25,2.00638e+07,2.00638e+07
68.5,2.00963e+07,2.00963e+07
68.75,2.0128e+07,2.0128e+07
69,2.01592e+07,2.01592e+07
69.25,2.01909e+07,2.01909e+07
69.5,2.02208e+07,2.02208e+07
69.75,2.02502e+07,2.02502e+07
70,2.02799e+07,2.02799e+07
70.25,2.03079e+07,2.03079e+07
70.5,2.03362e+07,2.03362e+07
70.75,2.03636e+07,2.03636e+07
71,2.03905e+07,2.03905e+07
71.25,2.04172e+07,2.04172e+07
71.5,2.04434e+07,2.04434e+07
71.75,2.04683e+07,2.04683e+07
72,2.04932e+07,2.04932e+07
72.25,2.05173e+07,2.05173e+07
72.5,2.05418e+07,2.05418e+07
72.75,2.05656e+07,2.05656e+07
73,2.05881e+07,2.05881e+07
73.25,2.06097e+07,2.06097e+07
73.5,2.06319e+07,2.06319e+07
73.75,2.06527e+07,2.06527e+07
74,2.06735e+07,2.06735e+07
74.25,2.06936e+07,2.06936e+07
74.5,2.07133e+07,2.07133e+07
74.75,2.07324e+07,2.07324e+07
75,2.07518e+07,2.07518e+07
75.25,2.07703e+07,2.07703e+07
75.5,2.07878e+07,2.07878e+07
75.75,2.08054e+07,2.08054e+07
76,2.08233e+07,2.08233e+07
76.25,2.084e+07,2.084e+07
76.5,2.0856e+07,2.0856e+07
76.75,2.08716e+07,2.08716e+07
77,2.08869e+07,2.08869e+07
77.25,2.09023e+07,2.09023e+07
77.5,2.09164e+07,2.09164e+07
77.75,2.09307e+07,2.09307e+07
78,2.09447e+07,2.09447e+07
78.25,2.09577e+07,2.09577e+07
78.5,2.09706e+07,2.09706e+07
78.75,2.09832e+07,2.09832e+07
79,2.09953e+07,2.09953e+07
79.25,2.10071e+07,2.10071e+07
79.5,2.10185e+07,2.10185e+07
79.75,2.10301e+07,2.10301e+07
80,2.1041e+07,2.1041e+07
80.25,2.10515e+07,2.10515e+07
80.5,2.10618e+07,2.10618e+07
80.75,2.1072e+07,2.1072e+07
81,2.10817e+07,2.10817e+07
81.25,2.1091e+07,2.1091e+07
81.5,2.11e+07,2.11e+07
81.75,2.11092e+07,2.11092e+07
82,2.11177e+07,2.11177e+07
82.25,2.11261e+07,2.11261e+07
82.5,2.11342e+07,2.11342e+07
82.75,2.11416e+07,2.11416e+07
83,2.11493e+07,2.11493e+07
83.25,2.11566e+07,2.11566e+07
83.5,2.11637e+07,2.11637e+07
83.75,2.11706e+07,2.11706e+07
84,2.11775e+07,2.11775e+07
84.25,2.11841e+07,2.11841e+07
84.5,2.11906e+07,2.11906e+07
84.75,2.11969e+07,2.11969e+07
85,2.12028e+07,2.12028e+07
85.25,2.12085e+07,2.12085e+07
85.5,2.12141e+07,2.12141e+07
85.75,2.12197e+07,2.12197e+07
86,2.12249e+07,2.12249e+07
86.25,2.123e+07,2.123e+07
86.5,2.12351e+07,2.12351e+07
86.75,2.12398e+07,2.12398e+07
87,2.12445e+07,2.12445e+07
87.25,2.12492e+07,2.12492e+07
87.5,2.12535e+07,2.12535e+07
87.75,2.12575e+07,2.12575e+07
88,2.12617e+07,2.12617e+07
88.25,2.12658e+07,2.12658e+07
88.5,2.12698e+07,2.12698e+07
88.75,2.12735e+07,2.12735e+07
89,2.12771e+07,2.12771e+07
89.25,2.12808e+07,2.12808e+07
89.5,2.1284e+07,2.1284e+07
89.75,2.12873e+07,2.12873e+07
90,2.12906e+07,2.12906e+07
90.25,2.12937e+07,2.12937e+07
90.5,2.12967e+07,2.12967e+07
90.75,2.12997e+07,2.12997e+07
91,2.13024e+07,2.13024e+07
91.25,2.1305e+07,2.1305e+07
91.5,2.13076e+07,2.13076e+07
91.75,2.13101e+07,2.13101e+07
92,2.13127e+07,2.13127e+07
92.25,2.1315e+07,2.1315e+07
92.5,2.13174e+07,2.13174e+07
92.75,2.13196e+07,2.13196e+07
93,2.13217e+07,2.13217e+07
93.25,2.13237e+07,2.13237e+07
93.5,2.13257e+07,2.13257e+07
93.75,2.13278e+07,2.13278e+07
94,2.13296e+07,2.13296e+07
94.25,2.13314e+07,2.13314e+07
94.5,2.13332e+07,2.13332e+07
94.75,2.13348e+07,2.13348e+07
95,2.13365e+07,2.13365e+07
95.25,2.13382e+07,2.13382e+07
95.5,2.13398e+07,2.13398e+07
95.75,2.13413e+07,2.13413e+07
96,2.13427e+07,2.13427e+07
96.25,2.13441e+07,2.13441e+07
96.5,2.13454e+07,2.13454e+07
96.75,2.13468e+07,2.13468e+07
97,2.13481e+07,2.13481e+07
97.25,2.13493e+07,2.13493e+07
97.5,2.13504e+07,2.13504e+07
97.75,2.13516e+07,2.13516e+07
98,2.13527e+07,2.13527e+07
98.25,2.13538e+07,2.13538e+07
98.5,2.13549e+07,2.13549e+07
98.75,2.13558e+07,2.13558e+07
99,2.13568e+07,2.13568e+07
99.25,2.13578e+07,2.13578e+07
99.5,2.13586e+07,2.13586e+07
99.75,2.13595e+07,2.13595e+07
100,2.13605e+07,2.13605e+07
100.25,2.13613e+07,2.13613e+07
100.5,2.13621e+07,2.13621e+07
100.75,2.13628e+07,2.13628e+07
101,2.13635e+07,2.13635e+07
101.25,2.13643e+07,2.13643e+07
101.5,2.1365e+07,2.1365e+07
101.75,2.13658e+07,2.13658e+07
102,2.13665e+07,2.13665e+07
102.25,2.13671e+07,2.13671e+07
102.5,2.13677e+07,2.13677e+07
102.75,2.13684e+07,2.13684e+07
103,2.1369e+07,2.1369e+07
103.25,2.13695e+07,2.13695e+07
103.5,2.13701e+07,2.13701e+07
103.75,2.13706e+07,2.13706e+07
104,2.13711e+07,2.13711e+07
104.25,2.13716e+07,2.13716e+07
104.5,2.13721e+07,2.13721e+07
104.75,2.13726e+07,2.13726e+07
105,2.1373e+07,2.1373e+07
105.25,2.13734e+07,2.13734e+07
105.5,2.13738e+07,2.13738e+07
105.75,2.13742e+07,2.13742e+07
106,2.13746e+07,2.13746e+07
106.25,2.1375e+07,2.1375e+07
106.5,2.13753e+07,2.13753e+07
106.75,2.13757e+07,2.13757e+07
107,2.1376e+07,2.1376e+07
107.25,2.13763e+07,2.13763e+07
107.5,2.13767e+07,2.13767e+07
107.75,2.1377e+07,2.1377e+07
108,2.13773e+07,2.13773e+07
108.25,2.13775e+07,2.13775e+07
108.5,2.13778e+07,2.13778e+07
108.75,2.13781e+07,2.13781e+07
109,2.13784e+07,2.13784e+07
109.25,2.13786e+07,2.13786e+07
109.5,2.13789e+07,2.13789e+07
109.75,2.13791e+07,2.13791e+07
110,2.13793e+07,2.13793e+07
110.25,2.13796e+07,2.13796e+07
110.5,2.13797e+07,2.13797e+07
110.75,2.138e+07,2.138e+07
111,2.13801e+07,2.13801e+07
111.25,2.13804e+07,2.13804e+07
111.5,2.13805e+07,2.13805e+07
111.75,2.13807e+07,2.13807e+07
112,2.13809e+07,2.13809e+07
112.25,2.13811e+07,2.13811e+07
112.5,2.13812e+07,2.13812e+07
112.75,2.13814e+07,2.13814e+07
113,2.13816e+07,2.13816e+07
113.25,2.13817e+07,2.13817e+07
113.5,2.13819e+07,2.13819e+07
113.75,2.1382e+07,2.1382e+07
114,2.13821e+07,2.13821e+07
114.25,2.13822e+07,2.13822e+07
114.5,2.13823e+07,2.13823e+07
114.75,2.13824e+07,2.13824e+07
115,2.13826e+07,2.13826e+07
115.25,2.13827e+07,2.13827e+07
115.5,2.13828e+07,2.13828e+07
115.75,2.13829e+07,2.13829e+07
116,2.1383e+07,2.1383e+07
116.25,2.13831e+07,2.13831e+07
116.5,2.13832e+07,2.13832e+07
116.75,2.13833e+07,2.13833e+07
117,2.13834e+07,2.13834e+07
117.25,2.13835e+07,2.13835e+07
117.5,2.13836e+07,2.13836e+07
117.75,2.13837e+07,2.13837e+07
118,2.13838e+07,2.13838e+07
118.25,2.13838e+07,2.13838e+07
118.5,2.13839e+07,2.13839e+07
118.75,2.1384e+07,2.1384e+07
119,2.13841e+07,2.13841e+07
119.25,2.13841e+07,2.13841e+07
119.5,2.13842e+07,2.13842e+07
119.75,2.13843e+07,2.13843e+07
120,2.13843e+07,2.13843e+07
120.25,2.13844e+07,2.13844e+07
120.5,2.13844e+07,2.13844e+07
120.75,2.13845e+07,2.13845e+07
121,2.13845e+07,2.13845e+07
121.25,2.13846e+07,2.13846e+07
121.5,2.13846e+07,2.13846e+07
121.75,2.13847e+07,2.13847e+07
122,2.13847e+07,2.13847e+07
122.25,2.13848e+07,2.13848e+07
122.5,2.13848e+07,2.13848e+07
122.75,2.13848e+07,2.13848e+07
123,2.13849e+07,2.13849e+07
123.25,2.13849e+07,2.13849e+07
123.5,2.1385e+07,2.1385e+07
123.75,2.1385e+07,2.1385e+07
124,2.13851e+07,2.13851e+07
124.25,2.13851e+07,2.13851e+07
124.5,2.13851e+07,2.13851e+07
124.75,2.13852e+07,2.13852e+07
125,2.13852e+07,2.13852e+07
125.25,2.13853e+07,2.13853e+07
125.5,2.13853e+07,2.13853e+07
125.75,2.13853e+07,2.13853e+07
126,2.13853e+07,2.13853e+07
126.25,2.13853e+07,2.13853e+07
126.5,2.13854e+07,2.13854e+07
126.75,2.13854e+07,2.13854e+07
127,2.13854e+07,2.13854e+07
127.25,2.13855e+07,2.13855e+07
127.5,2.13855e+07,2.13855e+07
127.75,2.13855e+07,2.13855e+07
128,2.13855e+07,2.13855e+07
128.25,2.13855e+07,2.13855e+07
128.5,2.13855e+07,2.13855e+07
128.75,2.13856e+07,2.13856e+07
129,2.13856e+07,2.13856e+07
129.25,2.13856e+07,2.13856e+07
129.5,2.13856e+07,2.13856e+07
129.75,2.13856e+07,2.13856e+07
130,2.13857e+07,2.13857e+07
130.25,2.13857e+07,2.13857e+07
130.5,2.13857e+07,2.13857e+07
130.75,2.13857e+07,2.13857e+07
131,2.13857e+07,2.13857e+07
131.25,2.13857e+07,2.13857e+07
131.5,2.13858e+07,2.13858e+07
131.75,2.13858e+07,2.13858e+07
132,2.13858e+07,2.13858e+07
132.25,2.13858e+07,2.13858e+07
132.5,2.13858e+07,2.13858e+07
132.75,2.13858e+07,2.13858e+07
133,2.13858e+07,2.13858e+07
133.25,2.13858e+07,2.13858e+07
133.5,2.13858e+07,2.13858e+07
133.75,2.13859e+07,2.13859e+07
134,2.13859e+07,2.13859e+07
134.25,2.13859e+07,2.13859e+07
134.5,2.13859e+07,2.13859e+07
134.75,2.13859e+07,2.13859e+07
135,2.13859e+07,2.13859e+07
135.25,2.13859e+07,2.13859e+07
135.5,2.13859e+07,2.13859e+07
135.75,2.13859e+07,2.13859e+07
136,2.13859e+07,2.13859e+07
136.25,2.13859e+07,2.13859e+07
136.5,2.13859e+07,2.13859e+07
136.75,2.1386e+07,2.1386e+07
137,2.1386e+07,2.1386e+07
137.25,2.1386e+07,2.1386e+07
137.5,2.1386e+07,2.1386e+07
137.75,2.1386e+07,2.1386e+07
138,2.1386e+07,2.1386e+07
138.25,2.1386e+07,2.1386e+07
138.5,2.1386e+07,2.1386e+07
138.75,2.1386e+07,2.1386e+07
139,2.1386e+07,2.1386e+07
139.25,2.1386e+07,2.1386e+07
139.5,2.1386e+07,2.1386e+07
139.75,2.1386e+07,2.1386e+07
140,2.1386e+07,2.1386e+07
140.25,2.1386e+07,2.1386e+07
140.5,2.1386e+07,2.1386e+07
140.75,2.1386e+07,2.1386e+07
141,2.1386e+07,2.1386e+07
141.25,2.1386e+07,2.1386e+07
141.5,2.1386e+07,2.1386e+07
141.75,2.1386e+07,2.1386e+07
142,2.1386e+07,2.1386e+07
142.25,2.1386e+07,2.1386e+07
142.5,2.13861e+07,2.13861e+07
142.75,2.13861e+07,2.13861e+07
143,2.13861e+07,2.13861e+07
143.25,2.13861e+07,2.13861e+07
143.5,2.13861e+07,2.13861e+07
143.75,2.13861e+07,2.13861e+07
144,2.13861e+07,2.13861e+07
144.25,2.13861e+07,2.13861e+07
144.5,2.13861e+07,2.13861e+07
144.75,2.13861e+07,2.13861e+07
145,2.13861e+07,2.13861e+07
145.25,2.13861e+07,2.13861e+07
145.5,2.13861e+07,2.13861e+07
145.75,2.13861e+07,2.13861e+07
146,2.13861e+07,2.13861e+07
146.25,2.13861e+07,2.13861e+07
146.5,2.13861e+07,2.13861e+07
146.75,2.13861e+07,2.13861e+07
147,2.13861e+07,2.13861e+07
147.25,2.13861e+07,2.13861e+07
147.5,2.13861e+07,2.13861e+07
147.75,2.13861e+07,2.13861e+07
148,2.13861e+07,2.13861e+07
148.25,2.13861e+07,2.13861e+07
148.5,2.13861e+07,2.13861e+07
148.75,2.13861e+07,2.13861e+07
149,2.13861e+07,2.13861e+07
149.25,2.13861e+07,2.13861e+07
149.5,2.13861e+07,2.13861e+07
149.75,2.13861e+07,2.13861e+07
150,2.13861e+07,2.13861e+07
150.25,2.13861e+07,2.13861e+07
150.5,2.13861e+07,2.13861e+07
150.75,2.13861e+07,2.13861e+07
151,2.13861e+07,2.13861e+07
151.25,2.13861e+07,2.13861e+07
151.5,2.13861e+07,2.13861e+07
151.75,2.13861e+07,2.13861e+07
152,2.13861e+07,2.13861e+07
152.25,2.13861e+07,2.13861e+07
152.5,2.13861e+07,2.13861e+07
152.75,2.13861e+07,2.13861e+07
153,2.13861e+07,2.13861e+07
153.25,2.13861e+07,2.13861e+07
153.5,2.13861e+07,2.13861e+07
153.75,2.13861e+07,2.13861e+07
154,2.13861e+07,2.13861e+07
