Time,normal_interactions,curtailed_interactions
178.75,2.13861e+07,2.13861e+07
179,2.13861e+07,2.13861e+07
179.25,2.13861e+07,2.13861e+07
179.5,2.13861e+07,2.13861e+07
179.75,2.13861e+07,2.13861e+07
180,2.13861e+07,2.13861e+07
180.25,2.13861e+07,2.13861e+07
180.5,2.13861e+07,2.13861e+07
180.75,2.13861e+07,2.13861e+07
181,2.13861e+07,2.13861e+07
181.25,2.13861e+07,2.13861e+07
181.5,2.13861e+07,2.13861e+07
181.75,2.13861e+07,2.13861e+07
182,2.13861e+07,2.13861e+07
182.25,2.13861e+07,2.13861e+07
182.5,2.13861e+07,2.13861e+07
182.75,2.13861e+07,2.13861e+07
183,2.13861e+07,2.13861e+07
183.25,2.13861e+07,2.13861e+07
183.5,2.13861e+07,2.13861e+07
183.75,2.13861e+07,2.13861e+07
184,2.13861e+07,2.13861e+07
184.25,2.13861e+07,2.13861e+07
184.5,2.13861e+07,2.13861e+07
184.75,2.13861e+07,2.13861e+07
185,2.13861e+07,2.13861e+07
185.25,2.13861e+07,2.13861e+07
185.5,2.13861e+07,2.13861e+07
185.75,2.13861e+07,2.13861e+07
186,2.13861e+07,2.13861e+07
186.25,2.13861e+07,2.13861e+07
186.5,2.13861e+07,2.13861e+07
186.75,2.13861e+07,2.13861e+07
187,2.13861e+07,2.13861e+07
187.25,2.13861e+07,2.13861e+07
187.5,2.13861e+07,2.13861e+07
187.75,2.13861e+07,2.13861e+07
188,2.13861e+07,2.13861e+07
188.25,2.13861e+07,2.13861e+07
188.5,2.13861e+07,2.13861e+07
188.75,2.13861e+07,2.13861e+07
189,2.13861e+07,2.13861e+07
189.25,2.13861e+07,2.13861e+07
189.5,2.13861e+07,2.13861e+07
189.75,2.13861e+07,2.13861e+07
190,2.13861e+07,2.13861e+07
190.25,2.13861e+07,2.13861e+07
190.5,2.13861e+07,2.13861e+07
190.75,2.13861e+07,2.13861e+07
191,2.13861e+07,2.13861e+07
191.25,2.13861e+07,2.13861e+07
191.5,2.13861e+07,2.13861e+07
191.75,2.13861e+07,2.13861e+07
192,2.13861e+07,2.13861e+07
192.25,2.13861e+07,2.13861e+07
192.5,2.13861e+07,2.13861e+07
192.75,2.13861e+07,2.13861e+07
193,2.13861e+07,2.13861e+07
193.25,2.13861e+07,2.13861e+07
193.5,2.13861e+07,2.13861e+07
193.75,2.13861e+07,2.13861e+07
194,2.13861e+07,2.13861e+07
194.25,2.13861e+07,2.13861e+07
194.5,2.13861e+07,2.13861e+07
194.75,2.13861e+07,2.13861e+07
195,2.13861e+07,2.13861e+07
195.25,2.13861e+07,2.13861e+07
195.5,2.13861e+07,2.13861e+07
195.75,2.13861e+07,2.13861e+07
196,2.13861e+07,2.13861e+07
196.25,2.13861e+07,2.13861e+07
196.5,2.13861e+07,2.13861e+07
196.75,2.13861e+07,2.13861e+07
197,2.13861e+07,2.13861e+07
197.25,2.13861e+07,2.13861e+07
197.5,2.13861e+07,2.13861e+07
197.75,2.13861e+07,2.13861e+07
198,2.13861e+07,2.13861e+07
198.25,2.13861e+07,2.13861e+07
198.5,2.13861e+07,2.13861e+07
198.75,2.13861e+07,2.13861e+07
199,2.13861e+07,2.13861e+07
199.25,2.13861e+07,2.13861e+07
199.5,2.13861e+07,2.13861e+07
199.75,2.13861e+07,2.13861e+07
200,2.13861e+07,2.13861e+07
200.25,2.13861e+07,2.13861e+07
200.5,2.13861e+07,2.13861e+07
200.75,2.13861e+07,2.13861e+07
201,2.13861e+07,2.13861e+07
201.25,2.13861e+07,2.13861e+07
201.5,2.13861e+07,2.13861e+07
201.75,2.13861e+07,2.13861e+07
202,2.13861e+07,2.13861e+07
202.25,2.13861e+07,2.13861e+07
202.5,2.13861e+07,2.13861e+07
202.75,2.13861e+07,2.13861e+07
203,2.13861e+07,2.13861e+07
203.25,2.13861e+07,2.13861e+07
203.5,2.13861e+07,2.13861e+07
203.75,2.13861e+07,2.13861e+07
204,2.13861e+07,2.13861e+07
204.25,2.13861e+07,2.13861e+07
204.5,2.13861e+07,2.13861e+07
204.75,2.13861e+07,2.13861e+07
205,2.13861e+07,2.13861e+07
205.25,2.13861e+07,2.13861e+07
205.5,2.13861e+07,2.13861e+07
205.75,2.13861e+07,2.13861e+07
206,2.13861e+07,2.13861e+07
206.25,2.13861e+07,2.13861e+07
206.5,2.13861e+07,2.13861e+07
206.75,2.13861e+07,2.13861e+07
207,2.13861e+07,2.13861e+07
207.25,2.13861e+07,2.13861e+07
207.5,2.13861e+07,2.13861e+07
207.75,2.13861e+07,2.13861e+07
208,2.13861e+07,2.13861e+07
208.25,2.13861e+07,2.13861e+07
208.5,2.13861e+07,2.13861e+07
208.75,2.13861e+07,2.13861e+07
209,2.13861e+07,2.13861e+07
209.25,2.13861e+07,2.13861e+07
209.5,2.13861e+07,2.13861e+07
209.75,2.13861e+07,2.13861e+07
210,2.13861e+07,2.13861e+07
210.25,2.13861e+07,2.13861e+07
210.5,2.13861e+07,2.13861e+07
210.75,2.13861e+07,2.13861e+07
211,2.13861e+07,2.13861e+07
211.25,2.13861e+07,2.13861e+07
211.5,2.13861e+07,2.13861e+07
211.75,2.13861e+07,2.13861e+07
212,2.13861e+07,2.13861e+07
212.25,2.13861e+07,2.13861e+07
212.5,2.13861e+07,2.13861e+07
212.75,2.13861e+07,2.13861e+07
213,2.13861e+07,2.13861e+07
213.25,2.13861e+07,2.13861e+07
213.5,2.13861e+07,2.13861e+07
213.75,2.13861e+07,2.13861e+07
214,2.13861e+07,2.13861e+07
214.25,2.13861e+07,2.13861e+07
214.5,2.13861e+07,2.13861e+07
214.75,2.13861e+07,2.13861e+07
215,2.13861e+07,2.13861e+07
215.25,2.13861e+07,2.13861e+07
215.5,2.13861e+07,2.13861e+07
215.75,2.13861e+07,2.13861e+07
216,2.13861e+07,2.13861e+07
216.25,2.13861e+07,2.13861e+07
216.5,2.13861e+07,2.13861e+07
216.75,2.13861e+07,2.13861e+07
217,2.13861e+07,2.13861e+07
217.25,2.13861e+07,2.13861e+07
217.5,2.13861e+07,2.13861e+07
217.75,2.13861e+07,2.13861e+07
218,2.13861e+07,2.13861e+07
218.25,2.13861e+07,2.13861e+07
218.5,2.13861e+07,2.13861e+07
218.75,2.13861e+07,2.13861e+07
219,2.13861e+07,2.13861e+07
219.25,2.13861e+07,2.13861e+07
219.5,2.13861e+07,2.13861e+07
219.75,2.13861e+07,2.13861e+07
220,2.13861e+07,2.13861e+07
220.25,2.13861e+07,2.13861e+07
220.5,2.13861e+07,2.13861e+07
220.75,2.13861e+07,2.13861e+07
221,2.13861e+07,2.13861e+07
221.25,2.13861e+07,2.13861e+07
221.5,2.13861e+07,2.13861e+07
221.75,2.13861e+07,2.13861e+07
222,2.13861e+07,2.13861e+07
222.25,2.13861e+07,2.13861e+07
222.5,2.13861e+07,2.13861e+07
222.75,2.13861e+07,2.13861e+07
223,2.13861e+07,2.13861e+07
223.25,2.13861e+07,2.13861e+07
223.5,2.13861e+07,2.13861e+07
223.75,2.13861e+07,2.13861e+07
224,2.13861e+07,2.13861e+07
224.25,2.13861e+07,2.13861e+07
224.5,2.13861e+07,2.13861e+07
224.75,2.13861e+07,2.13861e+07
225,2.13861e+07,2.13861e+07
225.25,2.13861e+07,2.13861e+07
225.5,2.13861e+07,2.13861e+07
225.75,2.13861e+07,2.13861e+07
226,2.13861e+07,2.13861e+07
226.25,2.13861e+07,2.13861e+07
226.5,2.13861e+07,2.13861e+07
226.75,2.13861e+07,2.13861e+07
227,2.13861e+07,2.13861e+07
227.25,2.13861e+07,2.13861e+07
227.5,2.13861e+07,2.13861e+07
227.75,2.13861e+07,2.13861e+07
228,2.13861e+07,2.13861e+07
228.25,2.13861e+07,2.13861e+07
228.5,2.13861e+07,2.13861e+07
228.75,2.13861e+07,2.13861e+07
229,2.13861e+07,2.13861e+07
229.25,2.13861e+07,2.13861e+07
229.5,2.13861e+07,2.13861e+07
229.75,2.13861e+07,2.13861e+07
230,2.13861e+07,2.13861e+07
230.25,2.13861e+07,2.13861e+07
230.5,2.13861e+07,2.13861e+07
230.75,2.13861e+07,2.13861e+07
231,2.13861e+07,2.13861e+07
231.25,2.13861e+07,2.13861e+07
231.5,2.13861e+07,2.13861e+07
231.75,2.13861e+07,2.13861e+07
232,2.13861e+07,2.13861e+07
232.25,2.13861e+07,2.13861e+07
232.5,2.13861e+07,2.13861e+07
232.75,2.13861e+07,2.13861e+07
233,2.13861e+07,2.13861e+07
233.25,2.13861e+07,2.13861e+07
233.5,2.13861e+07,2.13861e+07
233.75,2.13861e+07,2.13861e+07
234,2.13861e+07,2.13861e+07
234.25,2.13861e+07,2.13861e+07
234.5,2.13861e+07,2.13861e+07
234.75,2.13861e+07,2.13861e+07
235,2.13861e+07,2.13861e+07
235.25,2.13861e+07,2.13861e+07
235.5,2.13861e+07,2.13861e+07
235.75,2.13861e+07,2.13861e+07
236,2.13861e+07,2.13861e+07
236.25,2.13861e+07,2.13861e+07
236.5,2.13861e+07,2.13861e+07
236.75,2.13861e+07,2.13861e+07
237,2.13861e+07,2.13861e+07
237.25,2.13861e+07,2.13861e+07
237.5,2.13861e+07,2.13861e+07
237.75,2.13861e+07,2.13861e+07
238,2.13861e+07,2.13861e+07
238.25,2.13861e+07,2.13861e+07
238.5,2.13861e+07,2.13861e+07
238.75,2.13861e+07,2.13861e+07
239,2.13861e+07,2.13861e+07
239.25,2.13861e+07,2.13861e+07
239.5,2.13861e+07,2.13861e+07
239.75,2.13861e+07,2.13861e+07
240,2.13861e+07,2.13861e+07
240.25,2.13861e+07,2.13861e+07
240.5,2.13861e+07,2.13861e+07
240.75,2.13861e+07,2.13861e+07
241,2.13861e+07,2.13861e+07
241.25,2.13861e+07,2.13861e+07
241.5,2.13861e+07,2.13861e+07
241.75,2.13861e+07,2.13861e+07
242,2.13861e+07,2.13861e+07
242.25,2.13861e+07,2.13861e+07
242.5,2.13861e+07,2.13861e+07
242.75,2.13861e+07,2.13861e+07
243,2.13861e+07,2.13861e+07
243.25,2.13861e+07,2.13861e+07
243.5,2.13861e+07,2.13861e+07
243.75,2.13861e+07,2.13861e+07
244,2.13861e+07,2.13861e+07
244.25,2.13861e+07,2.13861e+07
244.5,2.13861e+07,2.13861e+07
244.75,2.13861e+07,2.13861e+07
245,2.13861e+07,2.13861e+07
245.25,2.13861e+07,2.13861e+07
245.5,2.13861e+07,2.13861e+07
245.75,2.13861e+07,2.13861e+07
246,2.13861e+07,2.13861e+07
246.25,2.13861e+07,2.13861e+07
246.5,2.13861e+07,2.13861e+07
246.75,2.13861e+07,2.13861e+07
247,2.13861e+07,2.13861e+07
247.25,2.13861e+07,2.13861e+07
247.5,2.13861e+07,2.13861e+07
247.75,2.13861e+07,2.13861e+07
248,2.13861e+07,2.13861e+07
248.25,2.13861e+07,2.13861e+07
248.5,2.13861e+07,2.13861e+07
248.75,2.13861e+07,2.13861e+07
249,2.13861e+07,2.13861e+07
249.25,2.13861e+07,2.13861e+07
249.5,2.13861e+07,2.13861e+07
249.75,2.13861e+07,2.13861e+07
250,2.13861e+07,2.13861e+07
250.25,2.13861e+07,2.13861e+07
250.5,2.13861e+07,2.13861e+07
250.75,2.13861e+07,2.13861e+07
251,2.13861e+07,2.13861e+07
251.25,2.13861e+07,2.13861e+07
251.5,2.13861e+07,2.13861e+07
251.75,2.13861e+07,2.13861e+07
252,2.13861e+07,2.13861e+07
252.25,2.13861e+07,2.13861e+07
252.5,2.13861e+07,2.13861e+07
252.75,2.13861e+07,2.13861e+07
253,2.13861e+07,2.13861e+07
253.25,2.13861e+07,2.13861e+07
253.5,2.13861e+07,2.13861e+07
253.75,2.13861e+07,2.13861e+07
254,2.13861e+07,2.13861e+07
254.25,2.13861e+07,2.13861e+07
254.5,2.13861e+07,2.13861e+07
254.75,2.13861e+07,2.13861e+07
255,2.13861e+07,2.13861e+07
255.25,2.13861e+07,2.13861e+07
255.5,2.13861e+07,2.13861e+07
255.75,2.13861e+07,2.13861e+07
256,2.13861e+07,2.13861e+07
256.25,2.13861e+07,2.13861e+07
256.5,2.13861e+07,2.13861e+07
256.75,2.13861e+07,2.13861e+07
257,2.13861e+07,2.13861e+07
257.25,2.13861e+07,2.13861e+07
257.5,2.13861e+07,2.13861e+07
257.75,2.13861e+07,2.13861e+07
258,2.13861e+07,2.13861e+07
258.25,2.13861e+07,2.13861e+07
258.5,2.13861e+07,2.13861e+07
258.75,2.13861e+07,2.13861e+07
259,2.13861e+07,2.13861e+07
259.25,2.13861e+07,2.13861e+07
259.5,2.13861e+07,2.13861e+07
259.75,2.13861e+07,2.13861e+07
260,2.13861e+07,2.13861e+07
260.25,2.13861e+07,2.13861e+07
260.5,2.13861e+07,2.13861e+07
260.75,2.13861e+07,2.13861e+07
261,2.13861e+07,2.13861e+07
261.25,2.13861e+07,2.13861e+07
261.5,2.13861e+07,2.13861e+07
261.75,2.13861e+07,2.13861e+07
262,2.13861e+07,2.13861e+07
262.25,2.13861e+07,2.13861e+07
262.5,2.13861e+07,2.13861e+07
262.75,2.13861e+07,2.13861e+07
263,2.13861e+07,2.13861e+07
263.25,2.13861e+07,2.13861e+07
263.5,2.13861e+07,2.13861e+07
263.75,2.13861e+07,2.13861e+07
264,2.13861e+07,2.13861e+07
264.25,2.13861e+07,2.13861e+07
264.5,2.13861e+07,2.13861e+07
264.75,2.13861e+07,2.13861e+07
265,2.13861e+07,2.13861e+07
265.25,2.13861e+07,2.13861e+07
265.5,2.13861e+07,2.13861e+07
265.75,2.13861e+07,2.13861e+07
266,2.13861e+07,2.13861e+07
266.25,2.13861e+07,2.13861e+07
266.5,2.13861e+07,2.13861e+07
266.75,2.13861e+07,2.13861e+07
267,2.13861e+07,2.13861e+07
267.25,2.13861e+07,2.13861e+07
267.5,2.13861e+07,2.13861e+07
267.75,2.13861e+07,2.13861e+07
268,2.13861e+07,2.13861e+07
268.25,2.13861e+07,2.13861e+07
268.5,2.13861e+07,2.13861e+07
268.75,2.13861e+07,2.13861e+07
269,2.13861e+07,2.13861e+07
269.25,2.13861e+07,2.13861e+07
269.5,2.13861e+07,2.13861e+07
269.75,2.13861e+07,2.13861e+07
270,2.13861e+07,2.13861e+07
270.25,2.13861e+07,2.13861e+07
270.5,2.13861e+07,2.13861e+07
270.75,2.13861e+07,2.13861e+07
271,2.13861e+07,2.13861e+07
271.25,2.13861e+07,2.13861e+07
271.5,2.13861e+07,2.13861e+07
271.75,2.13861e+07,2.13861e+07
272,2.13861e+07,2.13861e+07
272.25,2.13861e+07,2.13861e+07
272.5,2.13861e+07,2.13861e+07
272.75,2.13861e+07,2.13861e+07
273,2.13861e+07,2.13861e+07
273.25,2.13861e+07,2.13861e+07
273.5,2.13861e+07,2.13861e+07
273.75,2.13861e+07,2.13861e+07
274,2.13861e+07,2.13861e+07
274.25,2.13861e+07,2.13861e+07
274.5,2.13861e+07,2.13861e+07
274.75,2.13861e+07,2.13861e+07
275,2.13861e+07,2.13861e+07
275.25,2.13861e+07,2.13861e+07
275.5,2.13861e+07,2.13861e+07
275.75,2.13861e+07,2.13861e+07
276,2.13861e+07,2.13861e+07
276.25,2.13861e+07,2.13861e+07
276.5,2.13861e+07,2.13861e+07
276.75,2.13861e+07,2.13861e+07
277,2.13861e+07,2.13861e+07
277.25,2.13861e+07,2.13861e+07
277.5,2.13861e+07,2.13861e+07
277.75,2.13861e+07,2.13861e+07
278,2.13861e+07,2.13861e+07
278.25,2.13861e+07,2.13861e+07
278.5,2.13861e+07,2.13861e+07
278.75,2.13861e+07,2.13861e+07
279,2.13861e+07,2.13861e+07
279.25,2.13861e+07,2.13861e+07
279.5,2.13861e+07,2.13861e+07
279.75,2.13861e+07,2.13861e+07
280,2.13861e+07,2.13861e+07
280.25,2.13861e+07,2.13861e+07
280.5,2.13861e+07,2.13861e+07
280.75,2.13861e+07,2.13861e+07
281,2.13861e+07,2.13861e+07
281.25,2.13861e+07,2.13861e+07
281.5,2.13861e+07,2.13861e+07
281.75,2.13861e+07,2.13861e+07
282,2.13861e+07,2.13861e+07
282.25,2.13861e+07,2.13861e+07
282.5,2.13861e+07,2.13861e+07
282.75,2.13861e+07,2.13861e+07
283,2.13861e+07,2.13861e+07
283.25,2.13861e+07,2.13861e+07
283.5,2.13861e+07,2.13861e+07
283.75,2.13861e+07,2.13861e+07
284,2.13861e+07,2.13861e+07
284.25,2.13861e+07,2.13861e+07
284.5,2.13861e+07,2.13861e+07
284.75,2.13861e+07,2.13861e+07
285,2.13861e+07,2.13861e+07
285.25,2.13861e+07,2.13861e+07
285.5,2.13861e+07,2.13861e+07
285.75,2.13861e+07,2.13861e+07
286,2.13861e+07,2.13861e+07
286.25,2.13861e+07,2.13861e+07
286.5,2.13861e+07,2.13861e+07
286.75,2.13861e+07,2.13861e+07
287,2.13861e+07,2.13861e+07
287.25,2.13861e+07,2.13861e+07
287.5,2.13861e+07,2.13861e+07
287.75,2.13861e+07,2.13861e+07
288,2.13861e+07,2.13861e+07
288.25,2.13861e+07,2.13861e+07
288.5,2.13861e+07,2.13861e+07
288.75,2.13861e+07,2.13861e+07
289,2.13861e+07,2.13861e+07
289.25,2.13861e+07,2.13861e+07
289.5,2.13861e+07,2.13861e+07
289.75,2.13861e+07,2.13861e+07
290,2.13861e+07,2.13861e+07
290.25,2.13861e+07,2.13861e+07
290.5,2.13861e+07,2.13861e+07
290.75,2.13861e+07,2.13861e+07
291,2.13861e+07,2.13861e+07
291.25,2.13861e+07,2.13861e+07
291.5,2.13861e+07,2.13861e+07
291.75,2.13861e+07,2.13861e+07
292,2.13861e+07,2.13861e+07
292.25,2.13861e+07,2.13861e+07
292.5,2.13861e+07,2.13861e+07
292.75,2.13861e+07,2.13861e+07
293,2.13861e+07,2.13861e+07
293.25,2.13861e+07,2.13861e+07
293.5,2.13861e+07,2.13861e+07
293.75,2.13861e+07,2.13861e+07
294,2.13861e+07,2.13861e+07
294.25,2.13861e+07,2.13861e+07
294.5,2.13861e+07,2.13861e+07
294.75,2.13861e+07,2.13861e+07
295,2.13861e+07,2.13861e+07
295.25,2.13861e+07,2.13861e+07
295.5,2.13861e+07,2.13861e+07
295.75,2.13861e+07,2.13861e+07
296,2.13861e+07,2.13861e+07
296.25,2.13861e+07,2.13861e+07
296.5,2.13861e+07,2.13861e+07
296.75,2.13861e+07,2.13861e+07
297,2.13861e+07,2.13861e+07
297.25,2.13861e+07,2.13861e+07
297.5,2.13861e+07,2.13861e+07
297.75,2.13861e+07,2.13861e+07
298,2.13861e+07,2.13861e+07
298.25,2.13861e+07,2.13861e+07
298.5,2.13861e+07,2.13861e+07
298.75,2.13861e+07,2.13861e+07
299,2.13861e+07,2.13861e+07
299.25,2.13861e+07,2.13861e+07
299.5,2.13861e+07,2.13861e+07
299.75,2.13861e+07,2.13861e+07
300,2.13861e+07,2.13861e+07
300.25,2.13861e+07,2.13861e+07
300.5,2.13861e+07,2.13861e+07
300.75,2.13861e+07,2.13861e+07
301,2.13861e+07,2.13861e+07
301.25,2.13861e+07,2.13861e+07
301.5,2.13861e+07,2.13861e+07
301.75,2.13861e+07,2.13861e+07
302,2.13861e+07,2.13861e+07
302.25,2.13861e+07,2.13861e+07
302.5,2.13861e+07,2.13861e+07
302.75,2.13861e+07,2.13861e+07
303,2.13861e+07,2.13861e+07
303.25,2.13861e+07,2.13861e+07
303.5,2.13861e+07,2.13861e+07
303.75,2.13861e+07,2.13861e+07
304,2.13861e+07,2.13861e+07
304.25,2.13861e+07,2.13861e+07
304.5,2.13861e+07,2.13861e+07
304.75,2.13861e+07,2.13861e+07
305,2.13861e+07,2.13861e+07
305.25,2.13861e+07,2.13861e+07
305.5,2.13861e+07,2.13861e+07
305.75,2.13861e+07,2.13861e+07
306,2.13861e+07,2.13861e+07
306.25,2.13861e+07,2.13861e+07
306.5,2.13861e+07,2.13861e+07
306.75,2.13861e+07,2.13861e+07
307,2.13861e+07,2.13861e+07
307.25,2.13861e+07,2.13861e+07
307.5,2.13861e+07,2.13861e+07
307.75,2.13861e+07,2.13861e+07
308,2.13861e+07,2.13861e+07
308.25,2.13861e+07,2.13861e+07
308.5,2.13861e+07,2.13861e+07
308.75,2.13861e+07,2.13861e+07
309,2.13861e+07,2.13861e+07
309.25,2.13861e+07,2.13861e+07
309.5,2.13861e+07,2.13861e+07
309.75,2.13861e+07,2.13861e+07
310,2.13861e+07,2.13861e+07
310.25,2.13861e+07,2.13861e+07
310.5,2.13861e+07,2.13861e+07
310.75,2.13861e+07,2.13861e+07
311,2.13861e+07,2.13861e+07
311.25,2.13861e+07,2.13861e+07
311.5,2.13861e+07,2.13861e+07
311.75,2.13861e+07,2.13861e+07
312,2.13861e+07,2.13861e+07
312.25,2.13861e+07,2.13861e+07
312.5,2.13861e+07,2.13861e+07
312.75,2.13861e+07,2.13861e+07
313,2.13861e+07,2.13861e+07
313.25,2.13861e+07,2.13861e+07
313.5,2.13861e+07,2.13861e+07
313.75,2.13861e+07,2.13861e+07
314,2.13861e+07,2.13861e+07
314.25,2.13861e+07,2.13861e+07
314.5,2.13861e+07,2.13861e+07
314.75,2.13861e+07,2.13861e+07
315,2.13861e+07,2.13861e+07
315.25,2.13861e+07,2.13861e+07
315.5,2.13861e+07,2.13861e+07
315.75,2.13861e+07,2.13861e+07
316,2.13861e+07,2.13861e+07
316.25,2.13861e+07,2.13861e+07
316.5,2.13861e+07,2.13861e+07
316.75,2.13861e+07,2.13861e+07
317,2.13861e+07,2.13861e+07
317.25,2.13861e+07,2.13861e+07
317.5,2.13861e+07,2.13861e+07
317.75,2.13861e+07,2.13861e+07
318,2.13861e+07,2.13861e+07
318.25,2.13861e+07,2.13861e+07
318.5,2.13861e+07,2.13861e+07
318.75,2.13861e+07,2.13861e+07
319,2.13861e+07,2.13861e+07
319.25,2.13861e+07,2.13861e+07
319.5,2.13861e+07,2.13861e+07
319.75,2.13861e+07,2.13861e+07
320,2.13861e+07,2.13861e+07
320.25,2.13861e+07,2.13861e+07
320.5,2.13861e+07,2.13861e+07
320.75,2.13861e+07,2.13861e+07
321,2.13861e+07,2.13861e+07
321.25,2.13861e+07,2.13861e+07
321.5,2.13861e+07,2.13861e+07
321.75,2.13861e+07,2.13861e+07
322,2.13861e+07,2.13861e+07
322.25,2.13861e+07,2.13861e+07
322.5,2.13861e+07,2.13861e+07
322.75,2.13861e+07,2.13861e+07
323,2.13861e+07,2.13861e+07
323.25,2.13861e+07,2.13861e+07
323.5,2.13861e+07,2.13861e+07
323.75,2.13861e+07,2.13861e+07
324,2.13861e+07,2.13861e+07
324.25,2.13861e+07,2.13861e+07
324.5,2.13861e+07,2.13861e+07
324.75,2.13861e+07,2.13861e+07
325,2.13861e+07,2.13861e+07
325.25,2.13861e+07,2.13861e+07
325.5,2.13861e+07,2.13861e+07
325.75,2.13861e+07,2.13861e+07
326,2.13861e+07,2.13861e+07
326.25,2.13861e+07,2.13861e+07
326.5,2.13861e+07,2.13861e+07
326.75,2.13861e+07,2.13861e+07
327,2.13861e+07,2.13861e+07
327.25,2.13861e+07,2.13861e+07
327.5,2.13861e+07,2.13861e+07
327.75,2.13861e+07,2.13861e+07
328,2.13861e+07,2.13861e+07
328.25,2.13861e+07,2.13861e+07
328.5,2.13861e+07,2.13861e+07
328.75,2.13861e+07,2.13861e+07
329,2.13861e+07,2.13861e+07
329.25,2.13861e+07,2.13861e+07
329.5,2.13861e+07,2.13861e+07
329.75,2.13861e+07,2.13861e+07
330,2.13861e+07,2.13861e+07
330.25,2.13861e+07,2.13861e+07
330.5,2.13861e+07,2.13861e+07
330.75,2.13861e+07,2.13861e+07
331,2.13861e+07,2.13861e+07
331.25,2.13861e+07,2.13861e+07
331.5,2.13861e+07,2.13861e+07
331.75,2.13861e+07,2.13861e+07
332,2.13861e+07,2.13861e+07
332.25,2.13861e+07,2.13861e+07
332.5,2.13861e+07,2.13861e+07
332.75,2.13861e+07,2.13861e+07
333,2.13861e+07,2.13861e+07
333.25,2.13861e+07,2.13861e+07
333.5,2.13861e+07,2.13861e+07
333.75,2.13861e+07,2.13861e+07
334,2.13861e+07,2.13861e+07
334.25,2.13861e+07,2.13861e+07
334.5,2.13861e+07,2.13861e+07
334.75,2.13861e+07,2.13861e+07
335,2.13861e+07,2.13861e+07
335.25,2.13861e+07,2.13861e+07
335.5,2.13861e+07,2.13861e+07
335.75,2.13861e+07,2.13861e+07
336,2.13861e+07,2.13861e+07
336.25,2.13861e+07,2.13861e+07
336.5,2.13861e+07,2.13861e+07
336.75,2.13861e+07,2.13861e+07
337,2.13861e+07,2.13861e+07
337.25,2.13861e+07,2.13861e+07
337.5,2.13861e+07,2.13861e+07
337.75,2.13861e+07,2.13861e+07
338,2.13861e+07,2.13861e+07
338.25,2.13861e+07,2.13861e+07
338.5,2.13861e+07,2.13861e+07
338.75,2.13861e+07,2.13861e+07
339,2.13861e+07,2.13861e+07
339.25,2.13861e+07,2.13861e+07
339.5,2.13861e+07,2.13861e+07
339.75,2.13861e+07,2.13861e+07
340,2.13861e+07,2.13861e+07
340.25,2.13861e+07,2.13861e+07
340.5,2.13861e+07,2.13861e+07
340.75,2.13861e+07,2.13861e+07
341,2.13861e+07,2.13861e+07
341.25,2.13861e+07,2.13861e+07
341.5,2.13861e+07,2.13861e+07
341.75,2.13861e+07,2.13861e+07
342,2.13861e+07,2.13861e+07
342.25,2.13861e+07,2.13861e+07
342.5,2.13861e+07,2.13861e+07
342.75,2.13861e+07,2.13861e+07
343,2.13861e+07,2.13861e+07
343.25,2.13861e+07,2.13861e+07
343.5,2.13861e+07,2.13861e+07
343.75,2.13861e+07,2.13861e+07
344,2.13861e+07,2.13861e+07
344.25,2.13861e+07,2.13861e+07
344.5,2.13861e+07,2.13861e+07
344.75,2.13861e+07,2.13861e+07
345,2.13861e+07,2.13861e+07
345.25,2.13861e+07,2.13861e+07
345.5,2.13861e+07,2.13861e+07
345.75,2.13861e+07,2.13861e+07
346,2.13861e+07,2.13861e+07
346.25,2.13861e+07,2.13861e+07
346.5,2.13861e+07,2.13861e+07
346.75,2.13861e+07,2.13861e+07
347,2.13861e+07,2.13861e+07
347.25,2.13861e+07,2.13861e+07
347.5,2.13861e+07,2.13861e+07
347.75,2.13861e+07,2.13861e+07
348,2.13861e+07,2.13861e+07
348.25,2.13861e+07,2.13861e+07
348.5,2.13861e+07,2.13861e+07
348.75,2.13861e+07,2.13861e+07
349,2.13861e+07,2.13861e+07
349.25,2.13861e+07,2.13861e+07
349.5,2.13861e+07,2.13861e+07
349.75,2.13861e+07,2.13861e+07
350,2.13861e+07,2.13861e+07
350.25,2.13861e+07,2.13861e+07
350.5,2.13861e+07,2.13861e+07
350.75,2.13861e+07,2.13861e+07
351,2.13861e+07,2.13861e+07
351.25,2.13861e+07,2.13861e+07
351.5,2.13861e+07,2.13861e+07
351.75,2.13861e+07,2.13861e+07
352,2.13861e+07,2.13861e+07
352.25,2.13861e+07,2.13861e+07
352.5,2.13861e+07,2.13861e+07
352.75,2.13861e+07,2.13861e+07
353,2.13861e+07,2.13861e+07
353.25,2.13861e+07,2.13861e+07
353.5,2.13861e+07,2.13861e+07
353.75,2.13861e+07,2.13861e+07
354,2.13861e+07,2.13861e+07
354.25,2.13861e+07,2.13861e+07
354.5,2.13861e+07,2.13861e+07
354.75,2.13861e+07,2.13861e+07
355,2.13861e+07,2.13861e+07
355.25,2.13861e+07,2.13861e+07
355.5,2.13861e+07,2.13861e+07
355.75,2.13861e+07,2.13861e+07
356,2.13861e+07,2.13861e+07
356.25,2.13861e+07,2.13861e+07
356.5,2.13861e+07,2.13861e+07
356.75,2.13861e+07,2.13861e+07
357,2.13861e+07,2.13861e+07
357.25,2.13861e+07,2.13861e+07
357.5,2.13861e+07,2.13861e+07
