Time,num_cases
99.5,5363904
99.75,5364107
100,5364315
100.25,5364477
100.5,5364642
100.75,5364813
101,5364966
101.25,5365133
101.5,5365273
101.75,5365409
102,5365535
102.25,5365656
102.5,5365783
102.75,5365920
103,5366041
103.25,5366159
103.5,5366255
103.75,5366360
104,5366471
104.25,5366570
104.5,5366691
104.75,5366797
105,5366891
105.25,5366973
105.5,5367072
105.75,5367160
106,5367240
106.25,5367335
106.5,5367413
106.75,5367495
107,5367571
107.25,5367629
107.5,5367685
107.75,5367748
108,5367813
108.25,5367877
108.5,5367924
108.75,5367983
109,5368036
109.25,5368093
109.5,5368147
109.75,5368206
110,5368260
110.25,5368293
110.5,5368331
110.75,5368385
111,5368435
111.25,5368481
111.5,5368514
111.75,5368555
112,5368581
112.25,5368620
112.5,5368651
112.75,5368694
113,5368730
113.25,5368760
113.5,5368788
113.75,5368816
114,5368852
114.25,5368885
114.5,5368911
114.75,5368936
115,5368959
115.25,5368985
115.5,5369009
115.75,5369042
116,5369069
116.25,5369089
116.5,5369108
116.75,5369132
117,5369149
117.25,5369170
117.5,5369187
117.75,5369200
118,5369224
118.25,5369243
118.5,5369259
118.75,5369279
119,5369295
119.25,5369304
119.5,5369317
119.75,5369330
120,5369344
120.25,5369355
120.5,5369367
120.75,5369373
121,5369383
121.25,5369393
121.5,5369404
121.75,5369413
122,5369420
122.25,5369428
122.5,5369436
122.75,5369446
123,5369455
123.25,5369464
123.5,5369470
123.75,5369474
124,5369485
124.25,5369491
124.5,5369500
124.75,5369504
125,5369508
125.25,5369515
125.5,5369523
125.75,5369525
126,5369533
126.25,5369539
126.5,5369546
126.75,5369550
127,5369552
127.25,5369556
127.5,5369557
127.75,5369558
128,5369563
128.25,5369568
128.5,5369571
128.75,5369580
129,5369584
129.25,5369585
129.5,5369587
129.75,5369590
130,5369593
130.25,5369596
130.5,5369599
130.75,5369600
131,5369603
131.25,5369607
131.5,5369610
131.75,5369616
132,5369620
132.25,5369622
132.5,5369625
132.75,5369628
133,5369629
133.25,5369634
133.5,5369636
133.75,5369638
134,5369639
134.25,5369641
134.5,5369643
134.75,5369644
135,5369646
135.25,5369646
135.5,5369647
135.75,5369650
136,5369650
136.25,5369651
136.5,5369654
136.75,5369656
137,5369656
137.25,5369658
137.5,5369660
137.75,5369664
138,5369665
138.25,5369665
138.5,5369665
138.75,5369665
139,5369665
139.25,5369665
139.5,5369667
139.75,5369668
140,5369669
140.25,5369669
140.5,5369670
140.75,5369671
141,5369672
141.25,5369672
141.5,5369672
141.75,5369675
142,5369676
142.25,5369678
142.5,5369678
142.75,5369678
143,5369679
143.25,5369679
143.5,5369679
143.75,5369679
144,5369679
144.25,5369679
144.5,5369679
144.75,5369680
145,5369680
145.25,5369680
145.5,5369682
145.75,5369682
146,5369682
146.25,5369682
146.5,5369683
146.75,5369683
147,5369684
147.25,5369684
147.5,5369684
147.75,5369686
148,5369686
148.25,5369686
148.5,5369686
148.75,5369686
149,5369686
149.25,5369686
149.5,5369687
149.75,5369688
150,5369689
150.25,5369690
150.5,5369690
150.75,5369690
151,5369690
151.25,5369690
151.5,5369690
151.75,5369690
152,5369690
152.25,5369690
152.5,5369690
152.75,5369691
153,5369692
153.25,5369692
153.5,5369692
153.75,5369692
154,5369692
154.25,5369692
154.5,5369692
154.75,5369692
155,5369692
155.25,5369694
155.5,5369694
155.75,5369694
156,5369695
156.25,5369695
156.5,5369695
156.75,5369695
157,5369695
157.25,5369695
157.5,5369695
157.75,5369695
158,5369695
158.25,5369695
158.5,5369695
158.75,5369695
159,5369695
159.25,5369695
159.5,5369695
159.75,5369695
160,5369695
160.25,5369695
160.5,5369695
160.75,5369695
161,5369695
161.25,5369695
