Time,cumulative_mean_fraction_lambda_W
82,0.521685
82.25,0.521635
82.5,0.52159
82.75,0.521542
83,0.521494
83.25,0.521451
83.5,0.521411
83.75,0.521369
84,0.521327
84.25,0.521292
84.5,0.521254
84.75,0.521215
85,0.52118
85.25,0.521146
85.5,0.521115
85.75,0.521083
86,0.521054
86.25,0.521022
86.5,0.520993
86.75,0.520964
87,0.520937
87.25,0.520909
87.5,0.520882
87.75,0.520858
88,0.520836
88.25,0.520811
88.5,0.52079
88.75,0.520768
89,0.520749
89.25,0.520726
89.5,0.520707
89.75,0.520687
90,0.520668
90.25,0.520648
90.5,0.520633
90.75,0.520617
91,0.520601
91.25,0.520584
91.5,0.520569
91.75,0.520553
92,0.520541
92.25,0.520529
92.5,0.520517
92.75,0.520505
93,0.520493
93.25,0.52048
93.5,0.520469
93.75,0.520459
94,0.520451
94.25,0.520441
94.5,0.520431
94.75,0.52042
95,0.52041
95.25,0.520401
95.5,0.520392
95.75,0.520382
96,0.520373
96.25,0.520364
96.5,0.520356
96.75,0.520348
97,0.520342
97.25,0.520336
97.5,0.520331
97.75,0.520325
98,0.520318
98.25,0.520313
98.5,0.520308
98.75,0.520303
99,0.520295
99.25,0.52029
99.5,0.520285
99.75,0.520279
100,0.520275
100.25,0.52027
100.5,0.520264
100.75,0.52026
101,0.520255
101.25,0.52025
101.5,0.520245
101.75,0.520242
102,0.520238
102.25,0.520232
102.5,0.52023
102.75,0.520227
103,0.520224
103.25,0.52022
103.5,0.520216
103.75,0.520214
104,0.520209
104.25,0.520206
104.5,0.520202
104.75,0.520199
105,0.520195
105.25,0.520192
105.5,0.520189
105.75,0.520187
106,0.520185
106.25,0.520183
106.5,0.52018
106.75,0.520178
107,0.520176
107.25,0.520174
107.5,0.520172
107.75,0.520171
108,0.520169
108.25,0.520168
108.5,0.520166
108.75,0.520164
109,0.520163
109.25,0.520162
109.5,0.52016
109.75,0.520159
110,0.520157
110.25,0.520155
110.5,0.520154
110.75,0.520153
111,0.520151
111.25,0.520149
111.5,0.520148
111.75,0.520147
112,0.520146
112.25,0.520144
112.5,0.520143
112.75,0.520142
113,0.520141
113.25,0.52014
113.5,0.520139
113.75,0.520138
114,0.520137
114.25,0.520135
114.5,0.520134
114.75,0.520133
115,0.520132
115.25,0.520132
115.5,0.520131
115.75,0.52013
116,0.52013
116.25,0.520129
116.5,0.520128
116.75,0.520128
117,0.520127
117.25,0.520127
117.5,0.520126
117.75,0.520126
118,0.520125
118.25,0.520125
118.5,0.520124
118.75,0.520124
119,0.520123
119.25,0.520123
119.5,0.520122
119.75,0.520122
120,0.520121
120.25,0.520121
120.5,0.520121
120.75,0.520121
121,0.520121
121.25,0.52012
121.5,0.52012
121.75,0.520119
122,0.520119
