Time,num_recovered
99.5,7942892
99.75,7943661
100,7944432
100.25,7945125
100.5,7945794
100.75,7946464
101,7947063
101.25,7947703
101.5,7948278
101.75,7948893
102,7949455
102.25,7949983
102.5,7950493
102.75,7951047
103,7951544
103.25,7952023
103.5,7952507
103.75,7952927
104,7953353
104.25,7953787
104.5,7954200
104.75,7954603
105,7954970
105.25,7955358
105.5,7955714
105.75,7956051
106,7956403
106.25,7956692
106.5,7957010
106.75,7957303
107,7957568
107.25,7957838
107.5,7958137
107.75,7958361
108,7958623
108.25,7958845
108.5,7959085
108.75,7959322
109,7959567
109.25,7959784
109.5,7960006
109.75,7960209
110,7960403
110.25,7960594
110.5,7960776
110.75,7960953
111,7961130
111.25,7961291
111.5,7961451
111.75,7961609
112,7961768
112.25,7961917
112.5,7962062
112.75,7962216
113,7962347
113.25,7962475
113.5,7962595
113.75,7962723
114,7962821
114.25,7962920
114.5,7963028
114.75,7963123
115,7963237
115.25,7963329
115.5,7963421
115.75,7963514
116,7963623
116.25,7963693
116.5,7963777
116.75,7963866
117,7963948
117.25,7964037
117.5,7964139
117.75,7964211
118,7964267
118.25,7964335
118.5,7964409
118.75,7964482
119,7964537
119.25,7964600
119.5,7964656
119.75,7964703
120,7964744
120.25,7964799
120.5,7964847
120.75,7964908
121,7964944
121.25,7964982
121.5,7965030
121.75,7965083
122,7965115
122.25,7965156
122.5,7965186
122.75,7965213
123,7965256
123.25,7965300
123.5,7965335
123.75,7965365
124,7965401
124.25,7965437
124.5,7965464
124.75,7965496
125,7965524
125.25,7965550
125.5,7965571
125.75,7965603
126,7965622
126.25,7965642
126.5,7965669
126.75,7965697
127,7965714
127.25,7965732
127.5,7965751
127.75,7965766
128,7965780
128.25,7965790
128.5,7965805
128.75,7965825
129,7965845
129.25,7965864
129.5,7965878
129.75,7965892
130,7965910
130.25,7965928
130.5,7965941
130.75,7965953
131,7965967
131.25,7965976
131.5,7965988
131.75,7966005
132,7966010
132.25,7966019
132.5,7966025
132.75,7966035
133,7966044
133.25,7966055
133.5,7966072
133.75,7966089
134,7966097
134.25,7966102
134.5,7966109
134.75,7966112
135,7966115
135.25,7966125
135.5,7966130
135.75,7966133
136,7966137
136.25,7966142
136.5,7966149
136.75,7966162
137,7966167
137.25,7966171
137.5,7966177
137.75,7966183
138,7966188
138.25,7966193
138.5,7966197
138.75,7966201
139,7966206
139.25,7966211
139.5,7966216
139.75,7966219
140,7966224
140.25,7966229
140.5,7966232
140.75,7966234
141,7966234
141.25,7966243
141.5,7966246
141.75,7966250
142,7966250
142.25,7966252
142.5,7966257
142.75,7966257
143,7966263
143.25,7966263
143.5,7966264
143.75,7966266
144,7966269
144.25,7966273
144.5,7966277
144.75,7966281
145,7966284
145.25,7966284
145.5,7966287
145.75,7966290
146,7966290
146.25,7966291
146.5,7966292
146.75,7966295
147,7966296
147.25,7966299
147.5,7966299
147.75,7966299
148,7966299
148.25,7966301
148.5,7966302
148.75,7966302
149,7966303
149.25,7966303
149.5,7966306
149.75,7966306
150,7966307
150.25,7966307
150.5,7966308
150.75,7966311
151,7966313
151.25,7966315
151.5,7966316
151.75,7966317
152,7966318
152.25,7966320
152.5,7966321
152.75,7966322
153,7966322
153.25,7966323
153.5,7966324
153.75,7966324
154,7966324
154.25,7966324
154.5,7966326
154.75,7966326
155,7966326
155.25,7966326
155.5,7966327
155.75,7966329
156,7966329
156.25,7966329
156.5,7966330
156.75,7966330
157,7966330
157.25,7966331
157.5,7966331
157.75,7966332
158,7966332
158.25,7966333
158.5,7966333
158.75,7966333
159,7966333
159.25,7966333
159.5,7966333
159.75,7966333
160,7966334
160.25,7966334
160.5,7966334
160.75,7966334
161,7966334
161.25,7966334
161.5,7966334
161.75,7966334
162,7966334
162.25,7966335
162.5,7966335
162.75,7966335
163,7966335
163.25,7966335
163.5,7966335
163.75,7966335
164,7966336
164.25,7966336
164.5,7966336
164.75,7966336
165,7966337
165.25,7966337
165.5,7966337
165.75,7966337
166,7966337
166.25,7966337
166.5,7966337
166.75,7966337
167,7966337
167.25,7966337
167.5,7966337
167.75,7966337
168,7966337
168.25,7966337
168.5,7966337
168.75,7966337
169,7966337
169.25,7966337
169.5,7966337
169.75,7966337
170,7966337
170.25,7966338
170.5,7966338
170.75,7966338
171,7966338
171.25,7966338
171.5,7966338
171.75,7966339
172,7966339
172.25,7966339
172.5,7966339
172.75,7966339
173,7966339
173.25,7966339
173.5,7966339
173.75,7966339
174,7966339
174.25,7966339
174.5,7966339
174.75,7966339
175,7966339
175.25,7966339
