Time,cumulative_mean_fraction_lambda_H
93.75,0.26961
94,0.269616
94.25,0.269619
94.5,0.269623
94.75,0.269628
95,0.269634
95.25,0.269638
95.5,0.269642
95.75,0.269646
96,0.26965
96.25,0.269653
96.5,0.269657
96.75,0.269661
97,0.269662
97.25,0.269664
97.5,0.269666
97.75,0.269669
98,0.269672
98.25,0.269674
98.5,0.269676
98.75,0.269678
99,0.269682
99.25,0.269684
99.5,0.269687
99.75,0.26969
100,0.269692
100.25,0.269695
100.5,0.269696
100.75,0.269699
101,0.269701
101.25,0.269704
101.5,0.269706
101.75,0.269706
102,0.269707
102.25,0.269709
102.5,0.26971
102.75,0.269711
103,0.269711
103.25,0.269713
103.5,0.269715
103.75,0.269715
104,0.269718
104.25,0.269719
104.5,0.269721
104.75,0.269723
105,0.269725
105.25,0.269726
105.5,0.269726
105.75,0.269727
106,0.269729
106.25,0.26973
106.5,0.269731
106.75,0.269732
107,0.269732
107.25,0.269733
107.5,0.269733
107.75,0.269734
108,0.269735
108.25,0.269735
108.5,0.269736
108.75,0.269737
109,0.269737
109.25,0.269738
109.5,0.269739
109.75,0.269739
110,0.26974
110.25,0.269741
110.5,0.269741
110.75,0.269742
111,0.269743
111.25,0.269744
111.5,0.269744
111.75,0.269744
112,0.269745
112.25,0.269745
112.5,0.269746
112.75,0.269746
113,0.269747
113.25,0.269747
113.5,0.269748
113.75,0.269748
114,0.269749
114.25,0.269749
114.5,0.26975
114.75,0.26975
115,0.269751
115.25,0.269752
115.5,0.269752
115.75,0.269752
116,0.269752
116.25,0.269752
116.5,0.269753
116.75,0.269753
117,0.269754
117.25,0.269754
117.5,0.269754
117.75,0.269754
118,0.269754
118.25,0.269755
118.5,0.269755
118.75,0.269755
119,0.269755
119.25,0.269755
119.5,0.269755
119.75,0.269756
120,0.269756
120.25,0.269756
120.5,0.269756
120.75,0.269756
121,0.269756
121.25,0.269756
121.5,0.269756
121.75,0.269756
122,0.269756
122.25,0.269756
122.5,0.269756
122.75,0.269756
123,0.269756
123.25,0.269756
123.5,0.269756
123.75,0.269757
124,0.269757
124.25,0.269757
124.5,0.269757
124.75,0.269757
125,0.269757
125.25,0.269757
125.5,0.269757
125.75,0.269757
126,0.269757
126.25,0.269757
126.5,0.269757
126.75,0.269757
127,0.269757
127.25,0.269757
127.5,0.269757
127.75,0.269757
128,0.269757
128.25,0.269757
128.5,0.269757
128.75,0.269757
129,0.269757
129.25,0.269757
129.5,0.269757
129.75,0.269757
130,0.269757
130.25,0.269757
130.5,0.269757
130.75,0.269757
131,0.269757
131.25,0.269758
131.5,0.269758
131.75,0.269758
132,0.269758
132.25,0.269758
132.5,0.269758
132.75,0.269758
133,0.269758
133.25,0.269758
133.5,0.269758
133.75,0.269758
134,0.269758
134.25,0.269758
134.5,0.269758
134.75,0.269758
135,0.269758
135.25,0.269758
135.5,0.269758
135.75,0.269758
136,0.269758
136.25,0.269758
136.5,0.269758
136.75,0.269758
137,0.269758
137.25,0.269758
137.5,0.269758
137.75,0.269758
138,0.269758
138.25,0.269758
138.5,0.269758
138.75,0.269758
139,0.269758
139.25,0.269758
139.5,0.269758
139.75,0.269758
140,0.269758
140.25,0.269758
140.5,0.269758
140.75,0.269758
141,0.269758
141.25,0.269758
141.5,0.269758
141.75,0.269758
142,0.269758
142.25,0.269758
142.5,0.269758
142.75,0.269758
143,0.269758
143.25,0.269758
143.5,0.269758
143.75,0.269758
144,0.269758
144.25,0.269758
144.5,0.269758
144.75,0.269758
145,0.269758
145.25,0.269758
145.5,0.269758
145.75,0.269758
146,0.269758
146.25,0.269758
146.5,0.269758
146.75,0.269758
147,0.269758
147.25,0.269758
147.5,0.269758
147.75,0.269758
148,0.269758
148.25,0.269758
148.5,0.269758
148.75,0.269758
149,0.269758
149.25,0.269758
149.5,0.269758
149.75,0.269758
150,0.269758
150.25,0.269758
150.5,0.269758
150.75,0.269758
151,0.269758
151.25,0.269758
151.5,0.269758
151.75,0.269758
152,0.269758
152.25,0.269758
152.5,0.269758
152.75,0.269758
153,0.269758
153.25,0.269758
153.5,0.269758
153.75,0.269758
154,0.269758
154.25,0.269758
154.5,0.269758
154.75,0.269758
155,0.269758
155.25,0.269758
155.5,0.269758
155.75,0.269758
156,0.269758
156.25,0.269758
156.5,0.269758
156.75,0.269758
157,0.269758
157.25,0.269758
157.5,0.269758
157.75,0.269758
158,0.269758
158.25,0.269758
158.5,0.269758
158.75,0.269758
159,0.269758
159.25,0.269758
159.5,0.269758
159.75,0.269758
160,0.269758
160.25,0.269758
160.5,0.269758
160.75,0.269758
161,0.269758
161.25,0.269758
161.5,0.269758
161.75,0.269758
162,0.269758
162.25,0.269758
162.5,0.269758
162.75,0.269758
163,0.269758
163.25,0.269758
163.5,0.269758
163.75,0.269758
164,0.269758
164.25,0.269758
164.5,0.269758
164.75,0.269758
165,0.269758
165.25,0.269758
165.5,0.269758
165.75,0.269758
166,0.269758
166.25,0.269758
166.5,0.269758
166.75,0.269758
167,0.269758
167.25,0.269758
167.5,0.269758
167.75,0.269758
168,0.269758
168.25,0.269758
168.5,0.269758
168.75,0.269758
169,0.269758
169.25,0.269758
169.5,0.269758
169.75,0.269758
170,0.269758
170.25,0.269758
170.5,0.269758
170.75,0.269758
171,0.269758
171.25,0.269758
171.5,0.269758
171.75,0.269758
172,0.269758
172.25,0.269758
172.5,0.269758
172.75,0.269758
173,0.269758
173.25,0.269758
173.5,0.269758
173.75,0.269758
174,0.269758
174.25,0.269758
174.5,0.269758
174.75,0.269758
175,0.269758
175.25,0.269758
175.5,0.269758
175.75,0.269758
176,0.269758
176.25,0.269758
176.5,0.269758
176.75,0.269758
177,0.269758
177.25,0.269758
177.5,0.269758
177.75,0.269758
178,0.269758
178.25,0.269758
178.5,0.269758
178.75,0.269758
179,0.269758
179.25,0.269758
179.5,0.269758
179.75,0.269758
180,0.269758
180.25,0.269758
180.5,0.269758
180.75,0.269758
181,0.269758
181.25,0.269758
181.5,0.269758
181.75,0.269758
182,0.269758
182.25,0.269758
182.5,0.269758
182.75,0.269758
183,0.269758
183.25,0.269758
183.5,0.269758
183.75,0.269758
184,0.269758
184.25,0.269758
184.5,0.269758
184.75,0.269758
185,0.269758
185.25,0.269758
185.5,0.269758
185.75,0.269758
186,0.269758
186.25,0.269758
186.5,0.269758
186.75,0.269758
187,0.269758
187.25,0.269758
187.5,0.269758
187.75,0.269758
188,0.269758
188.25,0.269758
188.5,0.269758
188.75,0.269758
189,0.269758
189.25,0.269758
189.5,0.269758
189.75,0.269758
190,0.269758
190.25,0.269758
190.5,0.269758
190.75,0.269758
191,0.269758
191.25,0.269758
191.5,0.269758
191.75,0.269758
192,0.269758
192.25,0.269758
192.5,0.269758
192.75,0.269758
193,0.269758
193.25,0.269758
193.5,0.269758
193.75,0.269758
194,0.269758
194.25,0.269758
194.5,0.269758
194.75,0.269758
195,0.269758
195.25,0.269758
195.5,0.269758
195.75,0.269758
196,0.269758
196.25,0.269758
196.5,0.269758
196.75,0.269758
197,0.269758
197.25,0.269758
197.5,0.269758
197.75,0.269758
198,0.269758
198.25,0.269758
198.5,0.269758
198.75,0.269758
199,0.269758
199.25,0.269758
199.5,0.269758
199.75,0.269758
200,0.269758
200.25,0.269758
200.5,0.269758
200.75,0.269758
201,0.269758
201.25,0.269758
201.5,0.269758
201.75,0.269758
202,0.269758
202.25,0.269758
202.5,0.269758
202.75,0.269758
203,0.269758
203.25,0.269758
203.5,0.269758
203.75,0.269758
204,0.269758
204.25,0.269758
204.5,0.269758
204.75,0.269758
205,0.269758
