Time,num_cumulative_hospitalizations
110.5,357869
110.75,357882
111,357897
111.25,357913
111.5,357928
111.75,357934
112,357945
112.25,357954
112.5,357970
112.75,357983
113,357993
113.25,357999
113.5,358009
113.75,358020
114,358026
114.25,358038
114.5,358047
114.75,358055
115,358065
115.25,358076
115.5,358083
115.75,358089
116,358094
116.25,358100
116.5,358104
116.75,358109
117,358114
117.25,358121
117.5,358127
117.75,358131
118,358135
118.25,358136
118.5,358140
118.75,358144
119,358146
119.25,358148
119.5,358150
119.75,358154
120,358156
120.25,358160
120.5,358164
120.75,358168
121,358170
121.25,358176
121.5,358180
121.75,358185
122,358189
122.25,358191
122.5,358193
122.75,358196
123,358200
123.25,358202
123.5,358204
123.75,358207
124,358208
124.25,358209
124.5,358211
124.75,358211
125,358214
125.25,358216
125.5,358220
125.75,358222
126,358224
126.25,358227
126.5,358227
126.75,358228
127,358228
127.25,358230
127.5,358232
127.75,358234
128,358234
128.25,358237
128.5,358239
128.75,358241
129,358245
129.25,358247
129.5,358248
129.75,358251
130,358252
130.25,358252
130.5,358252
130.75,358253
131,358253
131.25,358253
131.5,358254
131.75,358255
132,358256
132.25,358257
132.5,358257
132.75,358257
133,358257
133.25,358259
133.5,358260
133.75,358260
134,358260
134.25,358261
134.5,358263
134.75,358263
135,358265
135.25,358265
135.5,358265
135.75,358266
136,358267
136.25,358268
136.5,358269
136.75,358269
137,358269
137.25,358269
137.5,358269
137.75,358270
138,358270
138.25,358271
138.5,358271
138.75,358272
139,358272
139.25,358273
139.5,358273
139.75,358273
140,358273
140.25,358273
140.5,358273
140.75,358273
141,358274
141.25,358274
141.5,358275
141.75,358275
142,358275
142.25,358275
142.5,358275
142.75,358276
143,358276
143.25,358276
143.5,358276
143.75,358276
144,358276
144.25,358276
144.5,358276
144.75,358276
145,358276
145.25,358276
145.5,358276
145.75,358276
146,358276
146.25,358276
146.5,358276
146.75,358276
147,358276
147.25,358276
147.5,358276
147.75,358277
148,358278
148.25,358278
148.5,358278
148.75,358278
149,358278
149.25,358278
149.5,358278
149.75,358278
150,358278
150.25,358278
150.5,358278
150.75,358278
151,358278
151.25,358278
151.5,358279
151.75,358279
152,358279
152.25,358279
152.5,358279
152.75,358279
153,358279
153.25,358279
153.5,358279
153.75,358279
154,358279
154.25,358279
154.5,358279
154.75,358279
155,358279
155.25,358279
155.5,358279
155.75,358279
156,358279
156.25,358279
156.5,358279
156.75,358279
157,358280
157.25,358280
157.5,358280
157.75,358280
158,358280
158.25,358280
158.5,358280
158.75,358280
159,358280
159.25,358280
159.5,358280
159.75,358280
160,358280
160.25,358280
160.5,358280
160.75,358280
161,358280
161.25,358280
161.5,358280
161.75,358280
162,358280
162.25,358281
162.5,358281
162.75,358281
163,358281
163.25,358281
163.5,358281
163.75,358281
164,358281
164.25,358281
164.5,358281
164.75,358281
165,358281
165.25,358281
165.5,358281
165.75,358281
166,358281
166.25,358281
166.5,358281
166.75,358281
167,358281
167.25,358281
167.5,358281
167.75,358281
168,358281
168.25,358281
168.5,358281
168.75,358281
169,358281
169.25,358281
169.5,358281
169.75,358281
170,358281
170.25,358281
170.5,358281
170.75,358281
171,358281
171.25,358281
171.5,358281
171.75,358281
172,358281
172.25,358281
172.5,358281
172.75,358281
173,358281
173.25,358281
173.5,358281
173.75,358281
174,358281
174.25,358281
174.5,358281
174.75,358281
175,358281
175.25,358281
175.5,358281
175.75,358281
176,358281
176.25,358281
176.5,358281
176.75,358281
177,358281
177.25,358281
177.5,358281
177.75,358281
178,358281
178.25,358281
178.5,358282
178.75,358282
179,358282
179.25,358282
179.5,358283
179.75,358283
180,358283
180.25,358283
180.5,358283
180.75,358283
181,358283
181.25,358283
181.5,358283
181.75,358283
182,358283
182.25,358283
182.5,358283
182.75,358283
183,358283
183.25,358283
183.5,358283
183.75,358283
184,358283
184.25,358283
184.5,358283
184.75,358283
185,358283
185.25,358283
185.5,358283
185.75,358283
186,358283
186.25,358283
186.5,358283
186.75,358283
187,358283
187.25,358283
187.5,358283
187.75,358283
188,358283
188.25,358283
188.5,358283
188.75,358283
189,358283
189.25,358283
189.5,358283
189.75,358283
190,358283
190.25,358283
190.5,358283
190.75,358283
191,358283
191.25,358283
191.5,358283
191.75,358283
192,358283
192.25,358283
192.5,358283
192.75,358283
193,358283
193.25,358283
193.5,358283
193.75,358283
194,358283
194.25,358283
194.5,358283
194.75,358283
195,358283
195.25,358283
195.5,358283
195.75,358283
196,358283
196.25,358283
196.5,358283
