Time,cumulative_mean_fraction_lambda_C
81.75,0.20918
82,0.209208
82.25,0.209239
82.5,0.209263
82.75,0.209292
83,0.209318
83.25,0.209345
83.5,0.209369
83.75,0.209396
84,0.209422
84.25,0.209443
84.5,0.209464
84.75,0.209486
85,0.209508
85.25,0.209527
85.5,0.209545
85.75,0.209564
86,0.209582
86.25,0.2096
86.5,0.209616
86.75,0.209636
87,0.209652
87.25,0.209668
87.5,0.209681
87.75,0.209697
88,0.209708
88.25,0.209722
88.5,0.209734
88.75,0.209748
89,0.209759
89.25,0.209772
89.5,0.209784
89.75,0.209796
90,0.209806
90.25,0.209818
90.5,0.209827
90.75,0.209837
91,0.209848
91.25,0.209857
91.5,0.209866
91.75,0.209878
92,0.209885
92.25,0.209892
92.5,0.209897
92.75,0.209904
93,0.209912
93.25,0.209918
93.5,0.209924
93.75,0.20993
94,0.209933
94.25,0.209941
94.5,0.209945
94.75,0.209952
95,0.209957
95.25,0.209961
95.5,0.209966
95.75,0.209972
96,0.209977
96.25,0.209983
96.5,0.209987
96.75,0.209992
97,0.209996
97.25,0.21
97.5,0.210002
97.75,0.210006
98,0.21001
98.25,0.210013
98.5,0.210016
98.75,0.21002
99,0.210023
99.25,0.210026
99.5,0.210028
99.75,0.210031
100,0.210033
100.25,0.210036
100.5,0.210039
100.75,0.210041
101,0.210044
101.25,0.210047
101.5,0.210049
101.75,0.210052
102,0.210055
102.25,0.210059
102.5,0.21006
102.75,0.210063
103,0.210065
103.25,0.210067
103.5,0.210069
103.75,0.210071
104,0.210073
104.25,0.210075
104.5,0.210077
104.75,0.210078
105,0.21008
105.25,0.210082
105.5,0.210084
105.75,0.210086
106,0.210086
106.25,0.210088
106.5,0.210089
106.75,0.21009
107,0.210091
107.25,0.210093
107.5,0.210094
107.75,0.210095
108,0.210096
108.25,0.210097
108.5,0.210098
108.75,0.210099
109,0.2101
109.25,0.210101
109.5,0.210101
109.75,0.210102
110,0.210103
110.25,0.210104
110.5,0.210104
110.75,0.210105
111,0.210106
111.25,0.210107
111.5,0.210107
111.75,0.210108
112,0.21011
112.25,0.210111
112.5,0.210111
112.75,0.210111
113,0.210112
113.25,0.210113
113.5,0.210113
113.75,0.210114
114,0.210115
114.25,0.210116
114.5,0.210116
114.75,0.210117
115,0.210117
115.25,0.210117
115.5,0.210117
115.75,0.210118
116,0.210118
116.25,0.210119
116.5,0.210118
116.75,0.210119
117,0.210119
117.25,0.210119
117.5,0.21012
117.75,0.21012
118,0.21012
118.25,0.210121
118.5,0.210121
118.75,0.210121
119,0.210122
119.25,0.210122
119.5,0.210122
119.75,0.210122
120,0.210123
120.25,0.210123
120.5,0.210124
120.75,0.210124
121,0.210124
121.25,0.210124
121.5,0.210124
121.75,0.210125
122,0.210125
122.25,0.210125
122.5,0.210125
122.75,0.210126
123,0.210126
123.25,0.210126
123.5,0.210126
123.75,0.210126
124,0.210126
124.25,0.210126
124.5,0.210126
124.75,0.210126
125,0.210126
125.25,0.210126
125.5,0.210126
125.75,0.210127
126,0.210127
126.25,0.210127
126.5,0.210127
126.75,0.210127
127,0.210127
127.25,0.210127
127.5,0.210127
127.75,0.210127
128,0.210128
128.25,0.210128
128.5,0.210128
128.75,0.210128
129,0.210128
129.25,0.210128
129.5,0.210128
129.75,0.210128
130,0.210128
130.25,0.210128
130.5,0.210128
130.75,0.210128
131,0.210128
131.25,0.210128
131.5,0.210129
131.75,0.210129
132,0.210129
132.25,0.210129
132.5,0.210129
132.75,0.210129
133,0.210129
133.25,0.210129
133.5,0.210129
133.75,0.210129
134,0.210129
134.25,0.210129
134.5,0.210129
134.75,0.210129
135,0.21013
135.25,0.21013
135.5,0.210129
135.75,0.21013
136,0.21013
136.25,0.21013
136.5,0.210129
136.75,0.21013
137,0.21013
137.25,0.21013
137.5,0.21013
137.75,0.21013
138,0.21013
138.25,0.21013
138.5,0.21013
138.75,0.21013
139,0.21013
139.25,0.21013
139.5,0.21013
139.75,0.21013
140,0.21013
140.25,0.21013
140.5,0.21013
140.75,0.21013
141,0.21013
141.25,0.21013
141.5,0.21013
141.75,0.21013
142,0.21013
142.25,0.21013
142.5,0.21013
142.75,0.21013
143,0.21013
143.25,0.21013
143.5,0.21013
143.75,0.21013
144,0.21013
144.25,0.21013
144.5,0.21013
144.75,0.21013
145,0.21013
145.25,0.21013
145.5,0.21013
145.75,0.21013
146,0.21013
146.25,0.21013
146.5,0.21013
146.75,0.21013
147,0.21013
147.25,0.21013
147.5,0.21013
147.75,0.21013
148,0.21013
148.25,0.210131
148.5,0.210131
148.75,0.210131
149,0.210131
149.25,0.210131
149.5,0.210131
149.75,0.210131
150,0.210131
150.25,0.210131
150.5,0.210131
150.75,0.210131
151,0.210131
151.25,0.210131
151.5,0.210131
151.75,0.210131
152,0.210131
152.25,0.210131
152.5,0.210131
152.75,0.210131
153,0.210131
153.25,0.210131
153.5,0.210131
153.75,0.210131
154,0.210131
154.25,0.210131
154.5,0.210131
154.75,0.210131
155,0.210131
155.25,0.210131
155.5,0.210131
155.75,0.210131
156,0.210131
156.25,0.210131
156.5,0.210131
156.75,0.210131
157,0.210131
157.25,0.210131
157.5,0.210131
157.75,0.210131
158,0.210131
158.25,0.210131
158.5,0.210131
158.75,0.210131
159,0.210131
159.25,0.210131
159.5,0.210131
159.75,0.210131
160,0.210131
160.25,0.210131
160.5,0.210131
160.75,0.210131
161,0.210131
161.25,0.210131
161.5,0.210131
161.75,0.210131
162,0.210131
162.25,0.210131
162.5,0.210131
162.75,0.210131
163,0.210131
163.25,0.210131
163.5,0.210131
163.75,0.210131
164,0.210131
164.25,0.210131
164.5,0.210131
164.75,0.210131
165,0.210131
165.25,0.210131
165.5,0.210131
165.75,0.210131
166,0.210131
166.25,0.210131
166.5,0.210131
166.75,0.210131
167,0.210131
167.25,0.210131
167.5,0.210131
167.75,0.210131
168,0.210131
168.25,0.210131
168.5,0.210131
168.75,0.210131
169,0.210131
169.25,0.210131
169.5,0.210131
169.75,0.210131
170,0.210131
170.25,0.210131
170.5,0.210131
170.75,0.210131
171,0.210131
171.25,0.210131
171.5,0.210131
171.75,0.210131
172,0.210131
172.25,0.210131
172.5,0.210131
172.75,0.210131
173,0.210131
173.25,0.210131
173.5,0.210131
173.75,0.210131
174,0.210131
174.25,0.210131
174.5,0.210131
174.75,0.210131
175,0.210131
175.25,0.210131
175.5,0.210131
175.75,0.210131
176,0.210131
176.25,0.210131
176.5,0.210131
176.75,0.210131
177,0.210131
177.25,0.210131
177.5,0.210131
177.75,0.210131
178,0.210131
178.25,0.210131
178.5,0.210131
178.75,0.210131
179,0.210131
179.25,0.210131
179.5,0.210131
179.75,0.210131
180,0.210131
180.25,0.210131
180.5,0.210131
180.75,0.210131
181,0.210131
181.25,0.210131
181.5,0.210131
181.75,0.210131
182,0.210131
182.25,0.210131
182.5,0.210131
182.75,0.210131
183,0.210131
183.25,0.210131
183.5,0.210131
183.75,0.210131
184,0.210131
184.25,0.210131
184.5,0.210131
184.75,0.210131
185,0.210131
185.25,0.210131
185.5,0.210131
185.75,0.210131
186,0.210131
186.25,0.210131
186.5,0.210131
186.75,0.210131
187,0.210131
187.25,0.210131
187.5,0.210131
187.75,0.210131
188,0.210131
188.25,0.210131
188.5,0.210131
188.75,0.210131
189,0.210131
189.25,0.210131
189.5,0.210131
189.75,0.210131
190,0.210131
190.25,0.210131
190.5,0.210131
190.75,0.210131
191,0.210131
191.25,0.210131
191.5,0.210131
191.75,0.210131
192,0.210131
192.25,0.210131
192.5,0.210131
192.75,0.210131
193,0.210131
193.25,0.210131
193.5,0.210131
193.75,0.210131
194,0.210131
194.25,0.210131
194.5,0.210131
194.75,0.210131
195,0.210131
195.25,0.210131
195.5,0.210131
195.75,0.210131
196,0.210131
196.25,0.210131
196.5,0.210131
196.75,0.210131
197,0.210131
197.25,0.210131
197.5,0.210131
197.75,0.210131
198,0.210131
198.25,0.210131
198.5,0.210131
198.75,0.210131
199,0.210131
199.25,0.210131
199.5,0.210131
199.75,0.210131
200,0.210131
200.25,0.210131
200.5,0.210131
200.75,0.210131
201,0.210131
201.25,0.210131
201.5,0.210131
201.75,0.210131
202,0.210131
202.25,0.210131
202.5,0.210131
202.75,0.210131
203,0.210131
203.25,0.210131
203.5,0.210131
203.75,0.210131
204,0.210131
204.25,0.210131
204.5,0.210131
204.75,0.210131
205,0.210131
205.25,0.210131
205.5,0.210131
205.75,0.210131
206,0.210131
206.25,0.210131
206.5,0.210131
206.75,0.210131
207,0.210131
207.25,0.210131
207.5,0.210131
207.75,0.210131
208,0.210131
208.25,0.210131
208.5,0.210131
208.75,0.210131
209,0.210131
209.25,0.210131
209.5,0.210131
209.75,0.210131
210,0.210131
210.25,0.210131
210.5,0.210131
210.75,0.210131
211,0.210131
211.25,0.210131
211.5,0.210131
211.75,0.210131
212,0.210131
212.25,0.210131
212.5,0.210131
212.75,0.210131
213,0.210131
213.25,0.210131
213.5,0.210131
213.75,0.210131
214,0.210131
214.25,0.210131
214.5,0.210131
214.75,0.210131
215,0.210131
215.25,0.210131
215.5,0.210131
215.75,0.210131
216,0.210131
216.25,0.210131
216.5,0.210131
216.75,0.210131
217,0.210131
217.25,0.210131
217.5,0.210131
217.75,0.210131
218,0.210131
218.25,0.210131
218.5,0.210131
218.75,0.210131
219,0.210131
219.25,0.210131
219.5,0.210131
219.75,0.210131
220,0.210131
220.25,0.210131
220.5,0.210131
220.75,0.210131
221,0.210131
221.25,0.210131
221.5,0.210131
221.75,0.210131
222,0.210131
222.25,0.210131
222.5,0.210131
222.75,0.210131
223,0.210131
223.25,0.210131
223.5,0.210131
223.75,0.210131
224,0.210131
224.25,0.210131
224.5,0.210131
224.75,0.210131
225,0.210131
225.25,0.210131
225.5,0.210131
225.75,0.210131
226,0.210131
226.25,0.210131
226.5,0.210131
226.75,0.210131
227,0.210131
227.25,0.210131
227.5,0.210131
227.75,0.210131
228,0.210131
228.25,0.210131
228.5,0.210131
228.75,0.210131
229,0.210131
229.25,0.210131
229.5,0.210131
229.75,0.210131
230,0.210131
230.25,0.210131
230.5,0.210131
230.75,0.210131
231,0.210131
231.25,0.210131
231.5,0.210131
231.75,0.210131
232,0.210131
232.25,0.210131
232.5,0.210131
232.75,0.210131
233,0.210131
233.25,0.210131
233.5,0.210131
233.75,0.210131
234,0.210131
234.25,0.210131
234.5,0.210131
234.75,0.210131
235,0.210131
235.25,0.210131
235.5,0.210131
235.75,0.210131
236,0.210131
236.25,0.210131
236.5,0.210131
236.75,0.210131
237,0.210131
237.25,0.210131
237.5,0.210131
237.75,0.210131
238,0.210131
